year,population,gdp,electricity_generation,primary_energy_consumption,renewables_electricity,renewables_percentage
2006,7794792.0,74031546368.0,0.0013704246318220698,0.0012698505260090177,0.0015572269624445,28.854195706718706
2007,7758181.0,80197312512.0,0.001374245163274041,0.0012648134280926484,0.001423320489345408,26.29969418960245
2008,7722801.0,86373416960.0,0.0014067196806157964,0.0012601356803351345,0.0014383661604801374,25.964149918522544
2009,7688037.0,85427576832.0,0.00144072241053834,0.001202968026615158,0.001585813737600486,27.95014584990718
2010,7653749.0,87870480384.0,0.0014296428693276236,0.001241294579764803,0.0017889302979193342,31.77445216461785
2011,7620925.0,91111448576.0,0.0014525660580394508,0.0012546339054892105,0.001304459687381045,22.803787480273538
2012,7591357.0,90113466368.0,0.0013826503324683777,0.0011815557137012924,0.001399247415529841,25.697706548770384
2013,7566674.0,92449742848.0,0.0014987944886083022,0.0011776400361082474,0.001537667589969352,26.05149120570992
2014,7543965.0,90886283264.0,0.0012775857175391697,0.0010487820256966218,0.0016595375261606606,32.98444976076555
2015,7519501.0,91611774976.0,0.0014361377727959747,0.0011613825392662383,0.0015211173517211494,26.89545091779728
2016,7493288.0,94185455616.0,0.0014751071936060808,0.0011898393544321484,0.0016339598852316204,28.12742812742813
2017,7464882.0,95918284800.0,0.0013922016610983057,0.001217416381278102,0.0013977428484163678,25.49396267837541
2018,7433825.0,99972055040.0,0.0014009888834378397,0.0012179801892859613,0.0016399781536855123,29.72457049359149
2000,80073.0,1136006784.0,6.876956613548162e-06,2.1610575070475534e-05,0.0,0.0
2001,81278.0,1137693056.0,6.876956613548162e-06,2.3376347402782168e-05,0.0,0.0
2002,82448.0,1181094272.0,7.641062903942404e-06,2.0136000280689648e-05,0.0,0.0
2003,83613.0,1134551424.0,8.023116049139522e-06,2.0080239049143118e-05,0.0,0.0
2004,84733.0,1140079488.0,8.023116049139522e-06,2.8698447169278293e-05,0.0,0.0
2005,85907.0,1274495360.0,8.405169194336643e-06,2.5990929593074792e-05,0.0,0.0
2006,87110.0,1430092032.0,9.169275484730883e-06,2.771952777101707e-05,0.0,0.0
2007,88339.0,1619623040.0,9.551328629928004e-06,2.2484167698037762e-05,0.0,0.0
2008,89660.0,1625803008.0,9.551328629928004e-06,2.4665051420746298e-05,0.0,0.0
2009,91046.0,1630727680.0,9.933381775125124e-06,2.7038001607670652e-05,0.0,0.0
2010,92424.0,1772951680.0,1.0697488065519365e-05,2.428711418470874e-05,0.0,0.0
2011,93842.0,1917505024.0,1.4518019517490565e-05,2.0619264287426196e-05,0.0,0.0
2012,95319.0,1991699968.0,1.4900072662687687e-05,2.3977329565005824e-05,0.0,0.0
